DOE,School - Midwood High School,23
DOE,School - Growing Up Green Charter School,23
FDNY,Bureau of Fire Prevention - Range Hood Unit - Inspections,23
DOE,School - Frederick Douglass Academy,23
DOF,Discrepancy and Billing,22
COIB,COIB,22
DOE,School - Jane Addams High School for Academic Careers,22
DOE,School - IS 61 William A Morris,22
DOE,School - PS 68 Bronx,22
DOE,School - PS 165 Robert E Simon,22
DOE,School - PS 75 Emily Dickinson,22
DOE,School - PS 93 Albert G Oliver,22
DOE,School - PS 226 Alfred De B Mason,22
DOE,School - Port Richmond High School,21
DOE,School - The Urban Assembly School of Business for Young Women,21
DOE,School - PS 207 Elizabeth G Leary,21
DOE,School - PS 36 Margaret Douglas,21
DOE,School - Brooklyn Studio Secondary School,21
DOE,School - Dewitt Clinton High School,20
DOE,School - JHS 78 Roy H Mann,20
DOE,School - PS 225 The Eileen E Zaglin,20
DOE,School - Brooklyn Technical High School,20
DOE,School - Community Health Academy of the Heights,20
DOE,School - Norman Thomas High School,19
DOE,School - PS 282 Park Slope,19
DOE,School - PS 63 Old South,19
DOE,School - PS 56 The Louis Desario School,19
DOE,School - JHS 88 Peter Rouget,19
DOE,School - High School of Graphic Communication Arts,19
DOE,School - PS 242 The Young Diplomats Magnet Academy,18
DOE,School - PS 70 Queens,18
DOE,School - PS 76 A Philip Randolph,18
DOE,School - Clara Barton High School,18
DOE,School - PS 83 Donald Hertz,18
DOE,School - PS 9 Teunis G Bergen,18
DOE,School - Fiorello H Laguardia High School of Music and Art and Performing Arts,18
DOE,School - Harvest Collegiate High School,18
DOE,School - PS - MS 114 Belle Harbor,17
DOE,School - IS 125 Thom J McCann Woodside,17
DOE,School - New Explorers High School,17
DOE,School - PS 354,17
DOE,School - PS 3 The Bedford Village,17
DOB,DOB Inspections - Staten Island,17
DOE,School - PS 30 Queens,17
DOE,School - PS 5 Dr Ronald Mcnair,17
DOE,School - PS 194 Countee Cullen,17
DOE,School - PS 3 The Margaret Gioiosa School,16
DOE,School - PS 139 Alexine A Fenty,16
DOE,School - PS 105 Senator Abraham Bernstein,16
DOE,School - Harlem Children's Zone Promise Academy II,16
DOE,School - Mosaic Preparatory Academy,16
DOE,School - Choir Academy of Harlem,16
MOVA,MOVA,16
DOE,School - PS 205 Clarion,16
DOE,School - PS 229 Dyker,16
DOE,School - PS 160 William T Sampson,16
DOE,School - PS 329 Surfside,16
DOE,School - Andries Hudde,16
DOE,School - PS 166 The Richard Rodgers School of the Arts and Technology,16
DOE,School - IS 238 Susan B Anthony Academy,16
DOE,School - PS 87 William Sherman,16
DOE,School - South Shore Educational Complex YABC,16
DOE,School - PS 54 Samuel C Barnes,16
NYPD,NYPD,15
DOE,School - JHS 62 Ditmas,15
DOE,School - Baccalaureate School for Global Education,15
DOE,School - PS 182,15
DOE,School - PS 149 Sojourner Truth,15
DFTA,DFTA,15
DOE,School - MS 61 Dr Gladstone H Atwell,15
DOE,School - STEM Institute of Manhattan,15
DOE,School - PS 189,15
DOE,School - PS 346 Abe Stark,15
DOE,School - PS 188 Island School,15
DOE,School - Life Sciences Secondary School,15
DOE,School - International Leadership Charter High School,15
DOE,School - Murry Bergtraum High School for Business Careers,15
DOE,School - PS 191 Amsterdam,15
DOE,School - PS 28 The Warren Prep Academy,15
DOE,School - Ps-IS 268,15
DOE,School - PS 111 Adolph S Ochs,15
DOE,School - PS 38 The Pacific,15
DOE,School - PS 163 Alfred E Smith,15
DOE,School - JHS 123 James M Kieran,15
DOE,School - PS 92 Mary McLeod Bethune,15
DOE,School - PS 100 The Coney Island School,15
DOE,School - Brooklyn High School of the Arts,15
DOE,School - PS 148 Queens,14
DOE,School - High School for Environmental Studies,14
DOE,School - PS 176 Cambria Heights,14
DOE,School - PS 193 Alfred J Kennedy,14
DOE,School - PS 138 Samuel Randall,14
DOE,School - PS 88 Seneca,14
DOE,School - IS 141 The Steinway,14
DOE,School - PS 205 Alexander Graham Bell,14
DOE,School - PS-IS 295,14
DOE,School - PS 209 Margaret Mead,14
DOE,School - PS 250 George H Lindsay,14
DOE,School - PS 28 Wright Brothers,14
DOE,School - PS 32 Samuels Mills Sprole,14
DOE,School - PS 140 Edward K Ellington,14
DOE,School - PS 7 Abraham Lincoln,14
DOE,School - Susan E Wagner High School,14
DOE,School - Wadleigh Secondary School for the Performing and Visual Arts,14
DOE,School - Jacqueline Kennedy Onassis High School,14
DOE,School - PS 102 Joseph O Loretan,14
DOE,School - Christopher Columbus High School,13
DOE,School - PS 163 Bath Beach,13
DOE,School - MS 137 America's School of Heroes,13
MOFTB,MOFTB,13
DOE,School - PS 5 Ellen Lurie,13
